"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 15 13:51:15 UTC 2026","Fri May 15 13:51:16 UTC 2026","736","PetStore API Test Suite","Workflows - Authorization Workflow Tests","petstore.workflows.AuthorizationWorkflowTests","petstore.workflows.AuthorizationWorkflowTests","Workflow_Authorization_PetEndpoints_Unauthorized_WithoutAuth","Workflow_Authorization_PetEndpoints_Unauthorized_WithoutAuth",""
"passed","Fri May 15 13:51:07 UTC 2026","Fri May 15 13:51:08 UTC 2026","376","PetStore API Test Suite","Store - Place Order Tests","petstore.store.PostPlaceOrderTests","petstore.store.PostPlaceOrderTests","Store_Post_PlaceOrder_Success_RequiredFieldsOnly","Store_Post_PlaceOrder_Success_RequiredFieldsOnly",""
"passed","Fri May 15 13:50:59 UTC 2026","Fri May 15 13:51:00 UTC 2026","747","PetStore API Test Suite","Pet - Update Pet With Form Tests","petstore.pet.PostUpdatePetWithFormTests","petstore.pet.PostUpdatePetWithFormTests","Pet_Post_UpdatePetWithForm_Success_OnlyName","Pet_Post_UpdatePetWithForm_Success_OnlyName",""
"passed","Fri May 15 13:50:54 UTC 2026","Fri May 15 13:50:54 UTC 2026","388","PetStore API Test Suite","Pet - Add Pet Tests","petstore.pet.PostAddPetTests","petstore.pet.PostAddPetTests","Pet_Post_AddPet_Success_NullOptionalFields","Pet_Post_AddPet_Success_NullOptionalFields",""
"failed","Fri May 15 13:51:03 UTC 2026","Fri May 15 13:51:03 UTC 2026","369","PetStore API Test Suite","Store - Place Order Tests","petstore.store.PostPlaceOrderTests","petstore.store.PostPlaceOrderTests","Store_Post_PlaceOrder_BadRequest_InvalidStatus","Store_Post_PlaceOrder_BadRequest_InvalidStatus",""
"passed","Fri May 15 13:51:09 UTC 2026","Fri May 15 13:51:09 UTC 2026","354","PetStore API Test Suite","User - Get User By Name Tests","petstore.user.GetUserByNameTests","petstore.user.GetUserByNameTests","User_Get_GetUserByName_NotFound_NonExistentUser","User_Get_GetUserByName_NotFound_NonExistentUser",""
"passed","Fri May 15 13:51:10 UTC 2026","Fri May 15 13:51:11 UTC 2026","378","PetStore API Test Suite","User - Delete User Tests","petstore.user.DeleteUserTests","petstore.user.DeleteUserTests","User_Delete_User_BadRequest_EmptyUsername","User_Delete_User_BadRequest_EmptyUsername",""
"passed","Fri May 15 13:51:07 UTC 2026","Fri May 15 13:51:08 UTC 2026","337","PetStore API Test Suite","User - Create User Tests","petstore.user.PostCreateUserTests","petstore.user.PostCreateUserTests","User_Post_CreateUser_Success_RequiredFieldsOnly","User_Post_CreateUser_Success_RequiredFieldsOnly",""
"passed","Fri May 15 13:51:07 UTC 2026","Fri May 15 13:51:07 UTC 2026","376","PetStore API Test Suite","User - Create Users With Array Tests","petstore.user.PostCreateUsersWithArrayTests","petstore.user.PostCreateUsersWithArrayTests","User_Post_CreateUsersWithArray_Success_ArrayWithDuplicateUsernames","User_Post_CreateUsersWithArray_Success_ArrayWithDuplicateUsernames",""
"passed","Fri May 15 13:51:13 UTC 2026","Fri May 15 13:51:13 UTC 2026","368","PetStore API Test Suite","User - Logout User Tests","petstore.user.GetLogoutUserTests","petstore.user.GetLogoutUserTests","User_Get_LogoutUser_Success_ActiveSession","User_Get_LogoutUser_Success_ActiveSession",""
"failed","Fri May 15 13:51:14 UTC 2026","Fri May 15 13:51:14 UTC 2026","367","PetStore API Test Suite","Workflows - Authorization Workflow Tests","petstore.workflows.AuthorizationWorkflowTests","petstore.workflows.AuthorizationWorkflowTests","Workflow_Authorization_InvalidApiKey_Forbidden","Workflow_Authorization_InvalidApiKey_Forbidden",""
"broken","Fri May 15 13:51:02 UTC 2026","Fri May 15 13:51:02 UTC 2026","1","PetStore API Test Suite","Store - Get Inventory Tests","petstore.store.GetInventoryTests","petstore.store.GetInventoryTests","Store_Get_Inventory_Success_ValidApiKey","Store_Get_Inventory_Success_ValidApiKey",""
"failed","Fri May 15 13:51:05 UTC 2026","Fri May 15 13:51:05 UTC 2026","736","PetStore API Test Suite","User - Create User Tests","petstore.user.PostCreateUserTests","petstore.user.PostCreateUserTests","User_Post_CreateUser_BadRequest_DuplicateUsername","User_Post_CreateUser_BadRequest_DuplicateUsername",""
"passed","Fri May 15 13:50:58 UTC 2026","Fri May 15 13:50:59 UTC 2026","709","PetStore API Test Suite","Pet - Update Pet With Form Tests","petstore.pet.PostUpdatePetWithFormTests","petstore.pet.PostUpdatePetWithFormTests","Pet_Post_UpdatePetWithForm_Success_EmptyNameAndStatus","Pet_Post_UpdatePetWithForm_Success_EmptyNameAndStatus",""
"failed","Fri May 15 13:51:01 UTC 2026","Fri May 15 13:51:02 UTC 2026","748","PetStore API Test Suite","Pet - Delete Pet Tests","petstore.pet.DeletePetTests","petstore.pet.DeletePetTests","Pet_Delete_Pet_Unauthorized","Pet_Delete_Pet_Unauthorized",""
"passed","Fri May 15 13:51:08 UTC 2026","Fri May 15 13:51:09 UTC 2026","376","PetStore API Test Suite","User - Get User By Name Tests","petstore.user.GetUserByNameTests","petstore.user.GetUserByNameTests","User_Get_GetUserByName_BadRequest_LongUsername","User_Get_GetUserByName_BadRequest_LongUsername",""
"passed","Fri May 15 13:51:04 UTC 2026","Fri May 15 13:51:04 UTC 2026","372","PetStore API Test Suite","Store - Delete Order Tests","petstore.store.DeleteOrderTests","petstore.store.DeleteOrderTests","Store_Delete_Order_BadRequest_ZeroId","Store_Delete_Order_BadRequest_ZeroId",""
"passed","Fri May 15 13:51:08 UTC 2026","Fri May 15 13:51:08 UTC 2026","373","PetStore API Test Suite","User - Create Users With Array Tests","petstore.user.PostCreateUsersWithArrayTests","petstore.user.PostCreateUsersWithArrayTests","User_Post_CreateUsersWithArray_Success_SingleUserArray","User_Post_CreateUsersWithArray_Success_SingleUserArray",""
